molecule,z2Symmetries,mapping,ansatz,vqe_time,hamiltonian,avg_pauli_weight,num_pauli_strings,num_qubits,vqe_energies,iterations,parameters,error,exact_energies,exact_solution,avg_hardware_pauli_weight,max_pauli_weight,max_hrdwr_pauli_weight,num_parameters,gates,depth,ansatz_reps,classical_time,accuracies_shots
H2,True,jordan_wigner,EfficientSU2,0.0,"SparsePauliOp(['IIII', 'IIIZ', 'IIZI', 'IIZZ', 'IZII', 'IZIZ', 'ZIII', 'ZIIZ', 'YYYY', 'XXYY', 'YYXX', 'XXXX', 'IZZI', 'ZIZI', 'ZZII'],
              coeffs=[-0.81530017+0.j,  0.16988452+0.j, -0.21886307+0.j,  0.12005143+0.j,
  0.16988452+0.j,  0.16821199+0.j, -0.21886307+0.j,  0.16549431+0.j,
  0.04544288+0.j,  0.04544288+0.j,  0.04544288+0.j,  0.04544288+0.j,
  0.16549431+0.j,  0.17395379+0.j,  0.12005143+0.j])",2.1333333333333333,15,4,[],0,[],[],[],0.0,3.2,4,16,24,6,11,2,0.0,"(None, None)"
H2,True,parity,EfficientSU2,0.0,"SparsePauliOp(['II', 'IZ', 'ZI', 'ZZ', 'XX'],
              coeffs=[-1.05540303+0.j,  0.38874759+0.j, -0.38874759+0.j, -0.01117714+0.j,
  0.18177154+0.j])",1.2,5,2,[],0,[],[],[],0.0,0.8,2,4,12,2,8,2,0.0,"(None, None)"
H2,True,bravyi_kitaev,EfficientSU2,0.0,"SparsePauliOp(['IIII', 'IIIZ', 'IIZZ', 'IIZI', 'IZII', 'IZIZ', 'ZZZI', 'ZZZZ', 'ZXIX', 'IXZX', 'ZXZX', 'IXIX', 'IZZZ', 'ZZIZ', 'ZIZI'],
              coeffs=[-0.81530017+0.j,  0.16988452+0.j, -0.21886307+0.j,  0.12005143+0.j,
  0.16988452+0.j,  0.16821199+0.j, -0.21886307+0.j,  0.16549431+0.j,
  0.04544288+0.j, -0.04544288+0.j, -0.04544288+0.j,  0.04544288+0.j,
  0.16549431+0.j,  0.17395379+0.j,  0.12005143+0.j])",2.2666666666666666,15,4,[],0,[],[],[],0.0,1.0666666666666667,4,4,24,6,11,2,0.0,"(None, None)"
H2,True,neven,EfficientSU2,0.0,"SparsePauliOp(['IIII', 'IZII', 'ZZXI', 'IIXI', 'IIIZ', 'ZIXI', 'IZXI', 'YXYX', 'YXZY', 'XXZX', 'XXYY', 'IZIZ', 'ZZII', 'ZZXZ', 'IIXZ'],
              coeffs=[-0.81530017+0.j,  0.16988452+0.j, -0.21886307+0.j,  0.16988452+0.j,
 -0.21886307+0.j,  0.12005143+0.j,  0.16821199+0.j, -0.04544288+0.j,
 -0.04544288+0.j,  0.04544288+0.j, -0.04544288+0.j,  0.16549431+0.j,
  0.16549431+0.j,  0.17395379+0.j,  0.12005143+0.j])",2.4,15,4,[],0,[],[],[],0.0,3.466666666666667,4,12,24,6,11,2,0.0,"(None, None)"
H2,False,jordan_wigner,EfficientSU2,0.0,"SparsePauliOp(['IIII', 'IIIZ', 'IIZI', 'IIZZ', 'IZII', 'IZIZ', 'ZIII', 'ZIIZ', 'YYYY', 'XXYY', 'YYXX', 'XXXX', 'IZZI', 'ZIZI', 'ZZII'],
              coeffs=[-0.81530017+0.j,  0.16988452+0.j, -0.21886307+0.j,  0.12005143+0.j,
  0.16988452+0.j,  0.16821199+0.j, -0.21886307+0.j,  0.16549431+0.j,
  0.04544288+0.j,  0.04544288+0.j,  0.04544288+0.j,  0.04544288+0.j,
  0.16549431+0.j,  0.17395379+0.j,  0.12005143+0.j])",2.1333333333333333,15,4,[],0,[],[],[],0.0,3.2,4,16,24,6,11,2,0.0,"(None, None)"
H2,False,parity,EfficientSU2,0.0,"SparsePauliOp(['II', 'IZ', 'ZI', 'ZZ', 'XX'],
              coeffs=[-1.05540303+0.j,  0.38874759+0.j, -0.38874759+0.j, -0.01117714+0.j,
  0.18177154+0.j])",1.2,5,2,[],0,[],[],[],0.0,0.8,2,4,12,2,8,2,0.0,"(None, None)"
H2,False,bravyi_kitaev,EfficientSU2,0.0,"SparsePauliOp(['IIII', 'IIIZ', 'IIZZ', 'IIZI', 'IZII', 'IZIZ', 'ZZZI', 'ZZZZ', 'ZXIX', 'IXZX', 'ZXZX', 'IXIX', 'IZZZ', 'ZZIZ', 'ZIZI'],
              coeffs=[-0.81530017+0.j,  0.16988452+0.j, -0.21886307+0.j,  0.12005143+0.j,
  0.16988452+0.j,  0.16821199+0.j, -0.21886307+0.j,  0.16549431+0.j,
  0.04544288+0.j, -0.04544288+0.j, -0.04544288+0.j,  0.04544288+0.j,
  0.16549431+0.j,  0.17395379+0.j,  0.12005143+0.j])",2.2666666666666666,15,4,[],0,[],[],[],0.0,1.0666666666666667,4,4,24,6,11,2,0.0,"(None, None)"
H2,False,neven,EfficientSU2,0.0,"SparsePauliOp(['IIII', 'IZII', 'ZZXI', 'IIXI', 'IIIZ', 'ZIXI', 'IZXI', 'YXYX', 'YXZY', 'XXZX', 'XXYY', 'IZIZ', 'ZZII', 'ZZXZ', 'IIXZ'],
              coeffs=[-0.81530017+0.j,  0.16988452+0.j, -0.21886307+0.j,  0.16988452+0.j,
 -0.21886307+0.j,  0.12005143+0.j,  0.16821199+0.j, -0.04544288+0.j,
 -0.04544288+0.j,  0.04544288+0.j, -0.04544288+0.j,  0.16549431+0.j,
  0.16549431+0.j,  0.17395379+0.j,  0.12005143+0.j])",2.4,15,4,[],0,[],[],[],0.0,3.466666666666667,4,12,24,6,11,2,0.0,"(None, None)"
LiH,True,jordan_wigner,EfficientSU2,0.0,"SparsePauliOp(['IIIIII', 'IZZIZZ', 'IIIIIZ', 'IZZIZI', 'IZZIYY', 'IIIIXX', 'IZZIXX', 'IIIIYY', 'IIZIII', 'IZIIZZ', 'IZIIII', 'IIZIZZ', 'IIIIZI', 'IZZIIZ', 'ZZZZII', 'ZIIZZZ', 'ZZZXII', 'ZIIXZZ', 'IIIXII', 'IZZXZZ', 'XIIIII', 'XZZIZZ', 'XZZZII', 'XIIZZZ', 'IIIZII', 'IZZZZZ', 'YZZYII', 'YIIYZZ', 'XZZXII', 'XIIXZZ', 'ZIIIII', 'ZZZIZZ', 'IIIIXI', 'IIIIXZ', 'IZZIXZ', 'IZZIXI', 'IZZIZX', 'IZIIZX', 'IIIIIX', 'IIZIIX', 'IIZIZX', 'IZIIIX', 'IZZIIX', 'IIIIZX', 'ZIIZZX', 'ZZZZIX', 'ZIIXZX', 'IZZXZX', 'ZZZXIX', 'IIIXIX', 'XZZIZX', 'XIIZZX', 'XIIIIX', 'XZZZIX', 'IZZZZX', 'IIIZIX', 'YIIYZX', 'XIIXZX', 'YZZYIX', 'XZZXIX', 'ZZZIZX', 'ZIIIIX', 'IIZIXI', 'IZIIXZ', 'ZIXIZI', 'IZXZZI', 'ZZXIIZ', 'IIXZIZ', 'IZYYZI', 'IZXXZI', 'IIYYIZ', 'IIXXIZ', 'YIYIZI', 'XIXIZI', 'YZYIIZ', 'XZXIIZ', 'IZIIXI', 'IIZIXZ', 'ZXIIZI', 'IXZZZI', 'ZXZIIZ', 'IXIZIZ', 'IYZYZI', 'IXZXZI', 'IYIYIZ', 'IXIXIZ', 'YYIIZI', 'XXIIZI', 'YYZIIZ', 'XXZIIZ', 'ZZZZXI', 'ZIIZXZ', 'ZZZXXI', 'IIIXXI', 'ZIIXXZ', 'IZZXXZ', 'XIIIXI', 'XZZZXI', 'XZZIXZ', 'XIIZXZ', 'IIIZXI', 'IZZZXZ', 'YZZYXI', 'XZZXXI', 'YIIYXZ', 'XIIXXZ', 'ZIIIXI', 'ZZZIXZ', 'IIZIIZ', 'IZIIIZ', 'IIIIZZ', 'ZZZZIZ', 'ZZZXIZ', 'IIIXIZ', 'XIIIIZ', 'XZZZIZ', 'IIIZIZ', 'YZZYIZ', 'XZZXIZ', 'ZIIIIZ', 'IZIIYY', 'IZIIXX', 'ZZYIIY', 'IIYZIY', 'ZZXIIX', 'IIXZIX', 'IIXYIY', 'IIYXIY', 'IIYYIX', 'IIXXIX', 'YZXIIY', 'XZYIIY', 'YZYIIX', 'XZXIIX', 'IIZIYY', 'IIZIXX', 'ZYZIIY', 'IYIZIY', 'ZXZIIX', 'IXIZIX', 'IXIYIY', 'IYIXIY', 'IYIYIX', 'IXIXIX', 'YXZIIY', 'XYZIIY', 'YYZIIX', 'XXZIIX', 'ZIIZYY', 'ZIIZXX', 'ZIIXYY', 'IZZXYY', 'ZIIXXX', 'IZZXXX', 'XZZIYY', 'XIIZYY', 'XZZIXX', 'XIIZXX', 'IZZZYY', 'IZZZXX', 'YIIYYY', 'XIIXYY', 'YIIYXX', 'XIIXXX', 'ZZZIYY', 'ZZZIXX', 'IZZIII', 'IIZIZI', 'ZZIZII', 'ZZIXII', 'IIZXII', 'XIZIII', 'XZIZII', 'IIZZII', 'YZIYII', 'XZIXII', 'ZIZIII', 'IXXIII', 'IYYIII', 'ZIYIYI', 'IZYZYI', 'ZIXIXI', 'IZXZXI', 'IZXYYI', 'IZYXYI', 'IZYYXI', 'IZXXXI', 'YIXIYI', 'XIYIYI', 'YIYIXI', 'XIXIXI', 'IZIIZI', 'ZIZZII', 'ZIZXII', 'IZIXII', 'XZIIII', 'XIZZII', 'IZIZII', 'YIZYII', 'XIZXII', 'ZZIIII', 'ZYIIYI', 'IYZZYI', 'ZXIIXI', 'IXZZXI', 'IXZYYI', 'IYZXYI', 'IYZYXI', 'IXZXXI', 'YXIIYI', 'XYIIYI', 'YYIIXI', 'XXIIXI', 'ZZZZZI', 'ZZZXZI', 'IIIXZI', 'XIIIZI', 'XZZZZI', 'IIIZZI', 'YZZYZI', 'XZZXZI', 'ZIIIZI', 'ZZZIII', 'XIIXII', 'YIIYII', 'IZZZII', 'XIIZII', 'XZZIII', 'IZZXII', 'ZIIXII', 'ZIIZII'],
              coeffs=[ 1.22626179+0.j, -0.29847666+0.j, -0.3904986 +0.j,  0.05263652+0.j,
  0.02410856+0.j, -0.00419157+0.j,  0.02410856+0.j, -0.00419157+0.j,
 -0.8523469 +0.j,  0.12923008+0.j, -0.8523469 +0.j,  0.12923008+0.j,
 -0.56373347+0.j,  0.08247949+0.j, -0.29847666+0.j,  0.12182774+0.j,
  0.00355582+0.j, -0.0121449 +0.j, -0.00355582+0.j,  0.0121449 +0.j,
  0.01321255+0.j,  0.03169875+0.j, -0.01321255+0.j, -0.03169875+0.j,
 -0.3904986 +0.j,  0.05590251+0.j,  0.02410856+0.j,  0.01284172+0.j,
  0.02410856+0.j,  0.01284172+0.j, -0.56373347+0.j,  0.11346111+0.j,
  0.01321255+0.j, -0.00545616+0.j, -0.01321255+0.j,  0.00545616+0.j,
  0.00355582+0.j, -0.00193547+0.j, -0.00355582+0.j,  0.00193547+0.j,
 -0.00193547+0.j,  0.00193547+0.j, -0.00286246+0.j,  0.00286246+0.j,
 -0.0121449 +0.j,  0.0121449 +0.j,  0.003266  +0.j, -0.003266  +0.j,
 -0.003266  +0.j,  0.003266  +0.j, -0.00865016+0.j,  0.00865016+0.j,
  0.00865016+0.j, -0.00865016+0.j,  0.00187104+0.j, -0.00187104+0.j,
 -0.00235215+0.j, -0.00235215+0.j,  0.00235215+0.j,  0.00235215+0.j,
 -0.01083836+0.j,  0.01083836+0.j, -0.0032525 +0.j,  0.0032525 +0.j,
  0.00585567+0.j, -0.00585567+0.j, -0.00585567+0.j,  0.00585567+0.j,
 -0.00481922+0.j, -0.00481922+0.j,  0.00481922+0.j,  0.00481922+0.j,
  0.00489362+0.j,  0.00489362+0.j, -0.00489362+0.j, -0.00489362+0.j,
 -0.0032525 +0.j,  0.0032525 +0.j,  0.00585567+0.j, -0.00585567+0.j,
 -0.00585567+0.j,  0.00585567+0.j, -0.00481922+0.j, -0.00481922+0.j,
  0.00481922+0.j,  0.00481922+0.j,  0.00489362+0.j,  0.00489362+0.j,
 -0.00489362+0.j, -0.00489362+0.j,  0.03169875+0.j, -0.03169875+0.j,
 -0.00865016+0.j,  0.00865016+0.j,  0.00865016+0.j, -0.00865016+0.j,
  0.03098161+0.j, -0.03098161+0.j, -0.03098161+0.j,  0.03098161+0.j,
 -0.003104  +0.j,  0.003104  +0.j,  0.00797591+0.j,  0.00797591+0.j,
 -0.00797591+0.j, -0.00797591+0.j,  0.03355135+0.j, -0.03355135+0.j,
  0.1306765 +0.j,  0.1306765 +0.j,  0.05374687+0.j,  0.05590251+0.j,
  0.00187104+0.j, -0.00187104+0.j, -0.003104  +0.j,  0.003104  +0.j,
  0.08447057+0.j, -0.00899491+0.j, -0.00899491+0.j,  0.06035891+0.j,
 -0.00454979+0.j, -0.00454979+0.j, -0.00481922+0.j,  0.00481922+0.j,
 -0.00481922+0.j,  0.00481922+0.j, -0.01031917+0.j,  0.01031917+0.j,
  0.01031917+0.j,  0.01031917+0.j,  0.00343074+0.j, -0.00343074+0.j,
 -0.00343074+0.j, -0.00343074+0.j, -0.00454979+0.j, -0.00454979+0.j,
 -0.00481922+0.j,  0.00481922+0.j, -0.00481922+0.j,  0.00481922+0.j,
 -0.01031917+0.j,  0.01031917+0.j,  0.01031917+0.j,  0.01031917+0.j,
  0.00343074+0.j, -0.00343074+0.j, -0.00343074+0.j, -0.00343074+0.j,
  0.01284172+0.j,  0.01284172+0.j, -0.00235215+0.j,  0.00235215+0.j,
 -0.00235215+0.j,  0.00235215+0.j,  0.00797591+0.j, -0.00797591+0.j,
  0.00797591+0.j, -0.00797591+0.j, -0.00899491+0.j, -0.00899491+0.j,
  0.00661205+0.j,  0.00661205+0.j,  0.00661205+0.j,  0.00661205+0.j,
  0.01101923+0.j,  0.01101923+0.j,  0.27077266+0.j,  0.12913364+0.j,
  0.12923008+0.j, -0.00193547+0.j,  0.00193547+0.j, -0.0032525 +0.j,
  0.0032525 +0.j,  0.1306765 +0.j, -0.00454979+0.j, -0.00454979+0.j,
  0.12913364+0.j,  0.00843457+0.j,  0.00843457+0.j,  0.00489362+0.j,
 -0.00489362+0.j,  0.00489362+0.j, -0.00489362+0.j,  0.00343074+0.j,
 -0.00343074+0.j, -0.00343074+0.j, -0.00343074+0.j, -0.00493056+0.j,
  0.00493056+0.j,  0.00493056+0.j,  0.00493056+0.j,  0.12913364+0.j,
  0.12923008+0.j, -0.00193547+0.j,  0.00193547+0.j, -0.0032525 +0.j,
  0.0032525 +0.j,  0.1306765 +0.j, -0.00454979+0.j, -0.00454979+0.j,
  0.12913364+0.j,  0.00489362+0.j, -0.00489362+0.j,  0.00489362+0.j,
 -0.00489362+0.j,  0.00343074+0.j, -0.00343074+0.j, -0.00343074+0.j,
 -0.00343074+0.j, -0.00493056+0.j,  0.00493056+0.j,  0.00493056+0.j,
  0.00493056+0.j,  0.11346111+0.j, -0.01083836+0.j,  0.01083836+0.j,
  0.03355135+0.j, -0.03355135+0.j,  0.06035891+0.j,  0.01101923+0.j,
  0.01101923+0.j,  0.1134468 +0.j,  0.05263652+0.j, -0.00419157+0.j,
 -0.00419157+0.j,  0.08247949+0.j, -0.00545616+0.j,  0.00545616+0.j,
 -0.00286246+0.j,  0.00286246+0.j,  0.05374687+0.j])",3.3593073593073592,231,6,[],0,[],[],[],0.0,4.45021645021645,5,16,36,10,13,2,0.0,"(None, None)"
LiH,True,parity,EfficientSU2,0.0,"SparsePauliOp(['IIIIII', 'IIIIIZ', 'ZIZIZZ', 'ZIZIZI', 'IIIIXZ', 'IIIIXI', 'ZIZIXI', 'ZIZIXZ', 'IZZIII', 'IZZIIZ', 'ZZIIII', 'ZZIIIZ', 'IIIIZI', 'IIIIZZ', 'IIIZII', 'IIIZIZ', 'IIZXII', 'IIZXIZ', 'IIIXII', 'IIIXIZ', 'XXXXII', 'XXXXIZ', 'YXXYII', 'YXXYIZ', 'IIZZII', 'IIZZIZ', 'XXXZII', 'XXXZIZ', 'YXYIII', 'YXYIIZ', 'ZIIIII', 'ZIIIIZ', 'IIIIXX', 'ZIZIYY', 'IIIIYY', 'ZIZIXX', 'ZIZIZX', 'ZZIIZX', 'IIIIIX', 'IZZIIX', 'IZZIZX', 'ZZIIIX', 'ZIZIIX', 'IIIIZX', 'ZIZZZX', 'IIIZIX', 'ZIIXZX', 'ZIZXZX', 'IIZXIX', 'IIIXIX', 'YXYXZX', 'XXYYZX', 'XXXXIX', 'YXXYIX', 'ZIIZZX', 'IIZZIX', 'YXYZZX', 'XXXIZX', 'XXXZIX', 'YXYIIX', 'IIZIZX', 'ZIIIIX', 'IZZIXX', 'IZZIYY', 'ZIXXZX', 'ZZYYZX', 'ZZYXZY', 'ZIXYZY', 'ZIXZZX', 'ZZXIZX', 'ZZYZZY', 'ZIYIZY', 'YYZIZX', 'XXIIZX', 'YXIIZY', 'XYZIZY', 'ZZIIXX', 'ZZIIYY', 'ZXXXZX', 'IYXYZX', 'IYXXZY', 'ZXXYZY', 'ZXXZZX', 'IYYIZX', 'IYXZZY', 'ZXYIZY', 'XZIIZX', 'XIIIZX', 'YIIIZY', 'YZIIZY', 'IIIZXX', 'IIIZYY', 'IIZXXX', 'IIIXXX', 'IIZXYY', 'IIIXYY', 'XXXXXX', 'YXXYXX', 'XXXXYY', 'YXXYYY', 'IIZZXX', 'IIZZYY', 'XXXZXX', 'YXYIXX', 'XXXZYY', 'YXYIYY', 'ZIIIXX', 'ZIIIYY', 'ZZIIZZ', 'IZZIZZ', 'ZIZIIZ', 'ZIZZZZ', 'ZIIXZZ', 'ZIZXZZ', 'YXYXZZ', 'XXYYZZ', 'ZIIZZZ', 'YXYZZZ', 'XXXIZZ', 'IIZIZZ', 'IZZIXZ', 'ZZIIXI', 'ZIXXZZ', 'ZZYYZZ', 'IZXXII', 'IIYYII', 'ZIXZZZ', 'ZZXIZZ', 'IZXZII', 'IIXIII', 'YYZIZZ', 'XXIIZZ', 'XXZIII', 'YYIIII', 'ZZIIXZ', 'IZZIXI', 'ZXXXZZ', 'IYXYZZ', 'ZYYXII', 'IXYYII', 'ZXXZZZ', 'IYYIZZ', 'ZYYZII', 'IXXIII', 'XZIIZZ', 'XIIIZZ', 'XIZIII', 'XZZIII', 'IIIZXZ', 'ZIZZXI', 'IIZXXZ', 'IIIXXZ', 'ZIIXXI', 'ZIZXXI', 'XXXXXZ', 'YXXYXZ', 'YXYXXI', 'XXYYXI', 'IIZZXZ', 'ZIIZXI', 'XXXZXZ', 'YXYIXZ', 'YXYZXI', 'XXXIXI', 'ZIIIXZ', 'IIZIXI', 'ZIZIII', 'IZZIZI', 'IZZZII', 'IZIXII', 'IZZXII', 'XYYXII', 'YYYYII', 'IZIZII', 'XYYZII', 'YYXIII', 'ZZZIII', 'IXIIII', 'ZXZIII', 'ZZYXYI', 'ZIXYYI', 'ZIXXXI', 'ZZYYXI', 'ZZYZYI', 'ZIYIYI', 'ZIXZXI', 'ZZXIXI', 'YXIIYI', 'XYZIYI', 'YYZIXI', 'XXIIXI', 'ZZIIZI', 'ZZIZII', 'ZZZXII', 'ZZIXII', 'YYXXII', 'XYXYII', 'ZZZZII', 'YYXZII', 'XYYIII', 'IZIIII', 'IYXXYI', 'ZXXYYI', 'ZXXXXI', 'IYXYXI', 'IYXZYI', 'ZXYIYI', 'ZXXZXI', 'IYYIXI', 'YIIIYI', 'YZIIYI', 'XZIIXI', 'XIIIXI', 'IIIZZI', 'IIZXZI', 'IIIXZI', 'XXXXZI', 'YXXYZI', 'IIZZZI', 'XXXZZI', 'YXYIZI', 'ZIIIZI', 'IIZIII', 'XXXIII', 'YXYZII', 'ZIIZII', 'XXYYII', 'YXYXII', 'ZIZXII', 'ZIIXII', 'ZIZZII'],
              coeffs=[ 1.22626179+0.j, -0.29847666+0.j, -0.3904986 +0.j,  0.05263652+0.j,
  0.02410856+0.j,  0.00419157+0.j,  0.02410856+0.j,  0.00419157+0.j,
 -0.8523469 +0.j,  0.12923008+0.j, -0.8523469 +0.j,  0.12923008+0.j,
  0.56373347+0.j, -0.08247949+0.j,  0.29847666+0.j, -0.12182774+0.j,
 -0.00355582+0.j,  0.0121449 +0.j, -0.00355582+0.j,  0.0121449 +0.j,
 -0.01321255+0.j, -0.03169875+0.j,  0.01321255+0.j,  0.03169875+0.j,
 -0.3904986 +0.j,  0.05590251+0.j, -0.02410856+0.j, -0.01284172+0.j,
 -0.02410856+0.j, -0.01284172+0.j, -0.56373347+0.j,  0.11346111+0.j,
 -0.01321255+0.j, -0.00545616+0.j,  0.01321255+0.j,  0.00545616+0.j,
  0.00355582+0.j, -0.00193547+0.j, -0.00355582+0.j,  0.00193547+0.j,
 -0.00193547+0.j,  0.00193547+0.j,  0.00286246+0.j, -0.00286246+0.j,
  0.0121449 +0.j, -0.0121449 +0.j, -0.003266  +0.j, -0.003266  +0.j,
  0.003266  +0.j,  0.003266  +0.j, -0.00865016+0.j, -0.00865016+0.j,
 -0.00865016+0.j,  0.00865016+0.j,  0.00187104+0.j, -0.00187104+0.j,
 -0.00235215+0.j, -0.00235215+0.j, -0.00235215+0.j, -0.00235215+0.j,
 -0.01083836+0.j,  0.01083836+0.j,  0.0032525 +0.j, -0.0032525 +0.j,
 -0.00585567+0.j,  0.00585567+0.j, -0.00585567+0.j, -0.00585567+0.j,
  0.00481922+0.j, -0.00481922+0.j,  0.00481922+0.j, -0.00481922+0.j,
  0.00489362+0.j,  0.00489362+0.j, -0.00489362+0.j,  0.00489362+0.j,
  0.0032525 +0.j, -0.0032525 +0.j, -0.00585567+0.j,  0.00585567+0.j,
 -0.00585567+0.j, -0.00585567+0.j,  0.00481922+0.j,  0.00481922+0.j,
  0.00481922+0.j, -0.00481922+0.j, -0.00489362+0.j,  0.00489362+0.j,
 -0.00489362+0.j,  0.00489362+0.j,  0.03169875+0.j, -0.03169875+0.j,
 -0.00865016+0.j, -0.00865016+0.j,  0.00865016+0.j,  0.00865016+0.j,
  0.03098161+0.j, -0.03098161+0.j, -0.03098161+0.j,  0.03098161+0.j,
  0.003104  +0.j, -0.003104  +0.j,  0.00797591+0.j,  0.00797591+0.j,
 -0.00797591+0.j, -0.00797591+0.j, -0.03355135+0.j,  0.03355135+0.j,
  0.1306765 +0.j,  0.1306765 +0.j, -0.05374687+0.j, -0.05590251+0.j,
 -0.00187104+0.j, -0.00187104+0.j, -0.003104  +0.j, -0.003104  +0.j,
  0.08447057+0.j, -0.00899491+0.j, -0.00899491+0.j,  0.06035891+0.j,
 -0.00454979+0.j, -0.00454979+0.j, -0.00481922+0.j,  0.00481922+0.j,
  0.00481922+0.j, -0.00481922+0.j,  0.01031917+0.j, -0.01031917+0.j,
 -0.01031917+0.j,  0.01031917+0.j,  0.00343074+0.j,  0.00343074+0.j,
  0.00343074+0.j,  0.00343074+0.j, -0.00454979+0.j, -0.00454979+0.j,
 -0.00481922+0.j,  0.00481922+0.j, -0.00481922+0.j, -0.00481922+0.j,
  0.01031917+0.j,  0.01031917+0.j,  0.01031917+0.j,  0.01031917+0.j,
 -0.00343074+0.j,  0.00343074+0.j,  0.00343074+0.j, -0.00343074+0.j,
 -0.01284172+0.j, -0.01284172+0.j,  0.00235215+0.j,  0.00235215+0.j,
  0.00235215+0.j,  0.00235215+0.j, -0.00797591+0.j,  0.00797591+0.j,
  0.00797591+0.j,  0.00797591+0.j, -0.00899491+0.j, -0.00899491+0.j,
 -0.00661205+0.j, -0.00661205+0.j,  0.00661205+0.j,  0.00661205+0.j,
  0.01101923+0.j,  0.01101923+0.j,  0.27077266+0.j, -0.12913364+0.j,
 -0.12923008+0.j,  0.00193547+0.j,  0.00193547+0.j, -0.0032525 +0.j,
  0.0032525 +0.j,  0.1306765 +0.j, -0.00454979+0.j,  0.00454979+0.j,
  0.12913364+0.j,  0.00843457+0.j, -0.00843457+0.j,  0.00489362+0.j,
  0.00489362+0.j, -0.00489362+0.j,  0.00489362+0.j, -0.00343074+0.j,
  0.00343074+0.j,  0.00343074+0.j, -0.00343074+0.j,  0.00493056+0.j,
 -0.00493056+0.j,  0.00493056+0.j,  0.00493056+0.j, -0.12913364+0.j,
 -0.12923008+0.j,  0.00193547+0.j,  0.00193547+0.j, -0.0032525 +0.j,
 -0.0032525 +0.j,  0.1306765 +0.j, -0.00454979+0.j,  0.00454979+0.j,
  0.12913364+0.j,  0.00489362+0.j,  0.00489362+0.j, -0.00489362+0.j,
  0.00489362+0.j, -0.00343074+0.j,  0.00343074+0.j,  0.00343074+0.j,
  0.00343074+0.j,  0.00493056+0.j, -0.00493056+0.j, -0.00493056+0.j,
  0.00493056+0.j,  0.11346111+0.j, -0.01083836+0.j, -0.01083836+0.j,
  0.03355135+0.j, -0.03355135+0.j, -0.06035891+0.j,  0.01101923+0.j,
  0.01101923+0.j, -0.1134468 +0.j, -0.05263652+0.j,  0.00419157+0.j,
  0.00419157+0.j, -0.08247949+0.j, -0.00545616+0.j, -0.00545616+0.j,
  0.00286246+0.j,  0.00286246+0.j,  0.05374687+0.j])",3.722943722943723,231,6,[],0,[],[],[],0.0,5.818181818181818,6,20,36,10,13,2,0.0,"(None, None)"
